9.720000000000000000e+02,8.320000000000000000e+02,6.900000000000000000e+01
1.044000000000000000e+03,1.856000000000000000e+03,3.660000000000000000e+02
1.044000000000000000e+03,1.920000000000000000e+02,2.200000000000000000e+02
9.000000000000000000e+02,4.480000000000000000e+02,1.700000000000000000e+01
7.560000000000000000e+02,1.472000000000000000e+03,4.600000000000000000e+02
6.840000000000000000e+02,1.088000000000000000e+03,1.460000000000000000e+02
8.280000000000000000e+02,1.472000000000000000e+03,3.380000000000000000e+02
5.400000000000000000e+02,1.600000000000000000e+03,4.660000000000000000e+02
3.600000000000000000e+01,1.920000000000000000e+02,3.470000000000000000e+02
8.280000000000000000e+02,1.600000000000000000e+03,8.000000000000000000e+00
3.240000000000000000e+02,1.344000000000000000e+03,8.500000000000000000e+01
8.280000000000000000e+02,1.344000000000000000e+03,4.040000000000000000e+02
4.680000000000000000e+02,1.600000000000000000e+03,3.800000000000000000e+02
6.120000000000000000e+02,1.472000000000000000e+03,3.310000000000000000e+02
1.800000000000000000e+02,1.216000000000000000e+03,1.360000000000000000e+02
